(1, 0.51896858)
(51, 0.06373978)
(101, 0.05129814)
(151, 0.04809189)
(201, 0.04524994)
(251, 0.04751015)
(301, 0.04093361)
(351, 0.04488373)
(401, 0.03760147)
(451, 0.03528404)
(501, 0.03385925)
(551, 0.02913094)
(601, 0.02925110)
(651, 0.02629089)
(701, 0.02372932)
(751, 0.02717209)
(801, 0.02893066)
(851, 0.02509689)
(901, 0.02218246)
(951, 0.02408028)
(1001, 0.02451324)
(1051, 0.02182579)
(1101, 0.02206039)
(1151, 0.02008057)
(1201, 0.02246284)
(1251, 0.02091026)
(1301, 0.01760674)
(1351, 0.01752853)
(1401, 0.01981735)
(1451, 0.01910019)
(1501, 0.01800346)
(1551, 0.01902390)
(1601, 0.01889610)
(1651, 0.01964378)
(1701, 0.01617241)
(1751, 0.01578522)
(1801, 0.02166176)
(1851, 0.01688576)
(1901, 0.01628685)
(1951, 0.01778984)
(2001, 0.01423645)
(2051, 0.01397896)
(2101, 0.01449013)
(2151, 0.01453400)
(2201, 0.01981544)
(2251, 0.01740074)
(2301, 0.01483154)
(2351, 0.01486778)
(2401, 0.01920319)
(2451, 0.01591682)
(2501, 0.01390076)
(2551, 0.01270866)
(2601, 0.01449203)
(2651, 0.01563263)
(2701, 0.01590919)
(2751, 0.01432991)
(2801, 0.01396370)
(2851, 0.01873779)
(2901, 0.01634789)
(2951, 0.01467514)
(3001, 0.01387215)
(3051, 0.01225853)
(3101, 0.01362228)
(3151, 0.01794434)
(3201, 0.01148796)
(3251, 0.01560020)
(3301, 0.01234627)
(3351, 0.01077652)
(3401, 0.01078415)
(3451, 0.01509094)
(3501, 0.01094246)
(3551, 0.01437759)
(3601, 0.01262665)
(3651, 0.01184273)
(3701, 0.01150322)
(3751, 0.01142693)
(3801, 0.01144028)
(3851, 0.01241875)
(3901, 0.01284409)
(3951, 0.01137161)
(4001, 0.01165771)
(4051, 0.01483154)
(4101, 0.01072311)
(4151, 0.01154137)
(4201, 0.01165009)
(4251, 0.01312256)
(4301, 0.01232338)
(4351, 0.01783180)
(4401, 0.01003647)
(4451, 0.01797485)
(4501, 0.01355743)
(4551, 0.01135826)
(4601, 0.01179504)
(4651, 0.01096535)
(4701, 0.01216125)
(4751, 0.01020622)
(4801, 0.01246452)
(4851, 0.01159477)
(4901, 0.01005936)
(4951, 0.01221466)
(5001, 0.01107216)
(5051, 0.01037979)
(5101, 0.00971413)
(5151, 0.01166725)
(5201, 0.01047707)
(5251, 0.01189613)
(5301, 0.01001740)
(5351, 0.00993729)
(5401, 0.01086617)
(5451, 0.01096916)
(5501, 0.01293564)
(5551, 0.00952339)
(5601, 0.01065063)
(5651, 0.00995636)
(5701, 0.01074409)
(5751, 0.00993729)
(5801, 0.00912094)
(5851, 0.01089478)
(5901, 0.00955200)
(5951, 0.01052666)
(6001, 0.01024437)
(6051, 0.00966263)
(6101, 0.01055527)
(6151, 0.00998116)
(6201, 0.01155281)
(6251, 0.00989532)
(6301, 0.01047897)
(6351, 0.00977707)
(6401, 0.00928879)
(6451, 0.00984764)
(6501, 0.00985527)
(6551, 0.00942230)
(6601, 0.01067162)
(6651, 0.00931168)
(6701, 0.01011086)
(6751, 0.00971603)
(6801, 0.01034546)
