(1, 0.63618618)
(51, 0.19889474)
(101, 0.18562773)
(151, 0.17199552)
(201, 0.12495882)
(251, 0.11644214)
(301, 0.10550252)
(351, 0.10005166)
(401, 0.09076432)
(451, 0.07989608)
(501, 0.09345598)
(551, 0.08381355)
(601, 0.08146156)
(651, 0.07907153)
(701, 0.08068357)
(751, 0.07118756)
(801, 0.06554069)
(851, 0.06986904)
(901, 0.07641114)
(951, 0.07679431)
(1001, 0.06669547)
(1051, 0.06965797)
(1101, 0.06336494)
(1151, 0.06851178)
(1201, 0.05997566)
(1251, 0.07455922)
(1301, 0.05924352)
(1351, 0.05852471)
(1401, 0.05918357)
(1451, 0.06517638)
(1501, 0.05501195)
(1551, 0.06309260)
(1601, 0.06477699)
(1651, 0.05178196)
(1701, 0.05194077)
(1751, 0.05750099)
(1801, 0.04326346)
(1851, 0.04644403)
(1901, 0.04940513)
(1951, 0.05379934)
(2001, 0.06012371)
(2051, 0.05406502)
(2101, 0.05286124)
(2151, 0.04845218)
(2201, 0.06214987)
(2251, 0.05302921)
(2301, 0.05729117)
(2351, 0.06006880)
(2401, 0.05081083)
(2451, 0.05046635)
(2501, 0.04302283)
(2551, 0.04488343)
(2601, 0.04920368)
(2651, 0.04438644)
(2701, 0.05702335)
(2751, 0.03972381)
(2801, 0.04700141)
(2851, 0.04444454)
(2901, 0.04643027)
(2951, 0.04049585)
(3001, 0.03778059)
(3051, 0.04470636)
(3101, 0.04205682)
(3151, 0.03746170)
(3201, 0.04076994)
(3251, 0.03422310)
(3301, 0.04192289)
(3351, 0.04147751)
(3401, 0.03469813)
(3451, 0.04169920)
(3501, 0.03609056)
(3551, 0.03175509)
(3601, 0.03744175)
(3651, 0.04250989)
(3701, 0.04304041)
(3751, 0.05271880)
(3801, 0.05004211)
(3851, 0.05129163)
(3901, 0.04679502)
(3951, 0.03776595)
(4001, 0.04256668)
(4051, 0.04303935)
(4101, 0.03975343)
(4151, 0.03599726)
(4201, 0.03253778)
(4251, 0.04773660)
(4301, 0.03533135)
(4351, 0.03619717)
(4401, 0.04161962)
(4451, 0.03731715)
(4501, 0.03450880)
(4551, 0.03323058)
(4601, 0.03459447)
(4651, 0.02917551)
(4701, 0.03123982)
(4751, 0.03561931)
(4801, 0.04080654)
(4851, 0.03110515)
(4901, 0.03541930)
(4951, 0.03372057)
(5001, 0.04090502)
(5051, 0.02829270)
(5101, 0.03472967)
(5151, 0.04088818)
(5201, 0.03703223)
(5251, 0.02733445)
(5301, 0.03449542)
(5351, 0.03075173)
(5401, 0.03229725)
(5451, 0.02996450)
(5501, 0.04322714)
(5551, 0.02943979)
(5601, 0.02995302)
(5651, 0.03239182)
(5701, 0.03165431)
(5751, 0.04245701)
(5801, 0.03020651)
(5851, 0.02787981)
(5901, 0.04477666)
(5951, 0.03078543)
(6001, 0.04394124)
